,Unnamed: 0,introduction,nickName,popularity,sumBidAmount,sumSelfBidAmount,userId,yieldRate,sumBidAmountDetail,registerDate
10,10,专业研发10年，长期研究信用标策略，使用商业大数据工具分析数据，寻找高收益低风险策略。,碧竹青柳,1687,50853182.0,440739.0,2686199,17.669999999999998,4050661,2014-08-11
11,11,8年金融从业经验，就职大型综合金融公司从事研究和管理工作，让客户得到安全满意的增值服务是职业的使命。,小西瓜,1675,31531970.0,285811.0,32582519,16.49,13022729,2016-09-14
12,12,拍拍贷多年投资经验，专业玩自定义散标，历史成绩理想。,温州农民,1670,32924694.0,268296.0,24382358,17.82,11975010,2016-05-19
13,13,不用担心平台跑路，我认识了拍拍；进而发现自身的努力，可以获得更高的收益，我被其吸引。开始研究自定义，分析数据成为我的生活的一部分，并总结了数套有效的策略。开启我的策略，安心为咱普通人财务自由之路助力。,一线远,1657,40653252.0,517665.0,19511204,15.8,3596666,2016-02-13
14,14,2014年投资拍拍贷到现在已经接近4个年头，从投资人保障计划到现在的第三方和策略师，经历了太多变化，现在是个烧脑的年代了，希望我的策略能帮助大家。,零摄氏度,1550,39080096.0,172836.0,1405477,15.870000000000001,6936517,2013-12-31
15,15,严格选标，兼顾适当的投标量，追求可实现的高收益。,刀锋,1497,47487192.0,291060.0,48561175,16.520000000000003,4978910,2017-04-01
16,16,来到拍拍贷已经两年多了，拍拍已经成为我每天工作生活的一部分，甚至觉得拍拍贷理财可以成为一种生活方式：既工作又娱乐。,捂热一天,1497,28092334.0,2511353.0,6082549,16.669999999999998,23747826,2015-05-01
17,17,2015年底 加入拍拍贷。次年6月潜心研究散标。通过数据分析，观察其中的变化细节，推导得出不少优秀策略和规则。并定期检查逾期率变化，以预测未来的趋势。,夏目SAM,1439,37504319.0,854882.0,17024135,15.260000000000002,6624388,2015-12-13
18,18,投资拍拍贷2年多，从刚开始的手动选标，到自定义策略选标，对各种纬度深刻了解，掌握大量数据，来做出高收益低逾期的策略。,眼镜,1431,34711780.0,54002.0,16295340,19.830000000000002,4223250,2015-11-25
19,19,不求最高收益，但求稳定收益，4年拍拍贷投资经验，熟知拍拍贷变和不变，带着大家稳定盈利。,BIGGHOST,1411,42392235.0,842667.0,1007324,16.64,7995838,2013-04-06
20,20,本人从12年进入拍拍贷，见证了拍拍从没落到辉煌的全征程，也让我收获满满。本人策略风格不冒险追求绝对稳定收益再不断完善改进以达到赚钱目的。,完美世界,1407,29062612.0,28674.0,910628,17.1,4313307,2012-11-11
21,21,2013年投资拍拍贷至今，期间不离不弃，收获投资收益逾百万。同拍拍贷一起成长与收获。,随风行,1386,38989365.0,131000.0,1300672,19.42,12857552,2013-11-18
22,22,多年网贷经验，擅长研究、分析数据，投资收益高！财富的增长是智慧与时间发酵的结果，不停下学习与探索的脚步，让你我一同去追寻财富的稳定增值吧！,在路上,1369,13634648.0,19104.0,44195163,18.67,5580129,2017-02-13
23,23,网贷7年，多账号总投资过千万，擅长在标量和逾期率中寻找最佳平衡点，寻找优质标，策略有时会满员，关注并点开“策略师说”，会有邀请码和策略变更说明,韶华倾富,1314,49068078.0,298331.0,19317831,19.009999999999998,6624804,2016-02-02
24,24,金融行业数据分析从业人员，拍拍贷总投资近千万，综合考虑逾期率和投标量，策略自用。,阿摩司,1302,45089343.0,608719.0,43580269,13.41,10414742,2017-02-04
25,25,"2013年来拍拍贷投资,持续复投,累计年化收益率16%,实现资产4年翻番.投资经验丰富,和大家分享.",sk632,1285,20525123.0,47920.0,959136,14.84,10629205,2013-01-02
26,26,多年财务管理工作经验，擅长数据分析，深入策略研究，作风稳健，选标严谨，追求长期稳定的收益。,重车双乘,1275,17450286.0,493080.0,22065775,18.11,3961659,2016-04-09
27,27,投资拍拍贷已经两年多，期间花了很多精力研究拍拍贷信用标策略，并积累了大量经验，很好的控制了信用标坏账率，取得较高的收益率！,一梦千年,1248,58478469.43,10996.0,5580104,20.51,13198368,2015-03-23
28,28,10年网贷经验，在PPD总投资达500万以上，散标累计千万以上。利用多维度筛选借款人，形成自定义策略，在茫茫标的“大海”中选择最优质标的， 具有丰富的独到的经验。备注：策略动态及邀请码请参见“策略师说”。,南有乔木,1240,16978650.0,454222.0,34018475,15.5,4935039,2016-10-05
29,29,15年10月注册拍拍贷，17年4月研究自定义，开始成百上千次的回测，基本每一个微小变量的变化都曾回测比对过进行分析，不过度挖掘数据，以避免陷入偶然性的陷阱。,虔诚的Rumi,1229,24861538.0,278625.0,15286073,16.689999999999998,17576230,2015-10-30
30,30,985本科学历，4年网贷投资经验，拍拍贷累计信用标投资金额600万以上，累计收益接近30万，长期使用研究自定义，擅长数据分析，作风稳健，选标严谨。,卢瑟团,1207,46871588.0,97483.0,31464418,16.68,6871343,2016-08-30
31,31,多年的小额信贷审批经验，在某大型P2P平台任职，了解信审风控的关键点。通过对借款人综合资质的筛选，即保证投标量，又能有效控制坏账率。,即视感,1187,44394136.0,207390.0,42745757,14.71,5241567,2017-01-19
32,32,通过对历史数据的研究，熟知各历史指标对逾期的影响！我的策略定能给您带来稳定高额收益！,地狱天使,1173,26580237.0,286961.0,19276607,17.0,3964217,2016-02-01
33,33,拥有多年的选标经验，追求稳定收益，分享经典策略！,一抹阳光,1162,9003841.0,121714.0,19506495,16.23,5818188,2016-02-13
34,34,在控制逾期率的同时，搭配较好的标量，做逾期率和标量比较平衡的策略。,共赢,1148,49672474.0,2108582.0,3755489,21.19,9735889,2014-09-22
35,35,三年投资老鸟，累计坏账不到收益的10%，从手选到工具，深刻理解拍拍贷的每一次变化，在拍拍贷上市的风口，我们一起资产翻倍,戳戳龙,1137,53818081.0,300.0,3958686,18.990000000000002,4202496,2014-10-10
36,36,策略师本人重拍拍贷超级铁粉，所有账户加起来，累计收益超过320万。此策略求稳为主，标量适中，不放水不坑人，自己也多账号在跟投。,枫之哀伤,1134,26587265.0,320738.0,18717032,17.16,23130126,2016-01-20
37,37,2013年注册拍拍贷。通过对投标数据和逾期标数据的对比分析，可以发现各投标维度对逾期率的影响。实战效果尚可。希望我的成果可以帮到大家。,大智若鱼,1077,20459687.0,12824.0,1105872,20.59,6286838,2013-07-09
38,38,十年金融投资经验，在拍拍贷投资期间，采用稳健进取的策略，取得了不错的收益，希望和大家一起进步成长，实现财富增值。,桃饱,1059,16736983.0,170884.0,3968068,15.86,3720335,2014-10-11
39,39,自2015年投资拍拍贷以来，通过深入不断地挖掘逾期数据和黑名单数据特点，来更加细化自己的投标策略，实现更加完美的投资收益率，深信财富来源于智慧。,Ganesha,1057,45460736.0,793644.0,9309015,14.280000000000001,3299666,2015-10-01
40,40,证券从业10余年，成功在15年牛市逃顶，拍拍贷投资2年左右，收益较高，论坛投资笔记分享活动投票第一名,萧山飞狐,1054,16786606.0,140481.0,18975915,14.37,31799628,2016-01-26
41,41,钟情于拍拍贷投资，对其有深刻的理解，以投资信标为主，已经获得不错的收益。,一触即发,1048,33048533.0,583020.0,23004842,16.39,9288553,2016-04-25
42,42,基于大数据和维度选择，追求稳妥投资，精选优质借款人和优质标的，以力争降低坏账，从而提高投资人收益为最大目的！,盛唐崛起,1025,37061588.0,471576.0,35329834,14.81,6040228,2016-10-22
43,43,2012年注册拍拍贷，5年投资拍拍贷经历，擅长数据挖掘。作风稳健。本策略自用为主，不追求投标量！,慢慢长大,998,17910646.0,760701.0,899416,14.940000000000001,13989706,2012-11-03
44,44,从事网络金融四年，投资拍拍贷虽然只有一年多，积累很多原始借款数据及筛选策略的经验，从失败中一步一步走过来。,凯旋,991,5376094.0,80728.0,35231443,13.23,7332332,2016-10-21
45,45,投资拍拍贷两年，由兴趣爱好变成了一种生活方式，对拍拍贷有一种难以割舍的情感，希望和拍拍贷共同成长。,红双喜,984,27710219.0,211482.0,31260911,12.61,4633731,2016-08-27
46,46,金融科技从业者，加入拍拍2年多以来，坚持自定义，收益稳定。,青云,979,28753324.0,369229.0,19543566,19.85,12943985,2016-02-15
47,47,计算机专业背景，10余年数据挖掘从业经验，擅长大数据分析。4年P2P投资经历。2015年开始投资拍拍贷，通过对信用标的多维度投标及历史数据分析，积累了丰富的标的信息，逐渐建立了稳健的投标模型。,向内行走,977,34329969.0,618365.0,17521918,12.950000000000001,5780585,2015-12-25
48,48,来自浙江义乌，从事外贸行业，偶遇拍拍也是种缘分，希望大家都可以拿到满意的收益,乌伤游侠,971,43465648.0,384065.0,38461381,16.48,4262959,2016-11-30
49,49,经过不断的学习研究散标，参透了散标各维度对逾期的影响，并通过自定义投标加以验证，取得了较好的收益率。,君子兰,951,25666161.0,627243.0,44338776,19.77,11236426,2017-02-15
50,50,投资P2P已经5年多，信用标策略主要为了给自己和朋友使用有一个相对稳定的收益，赔标策略为了迎合大家喜好设置的3-6月标。,曾经也有理想,924,28394642.0,540448.0,51964139,19.97,11378340,2017-05-11
51,51,"多年网贷投资经验,拍拍贷总投资规模500万以上,累计投资千万以上. 深入策略研究,风格稳健.优选标的,追求长期回报.本策略师获得拍拍贷论坛""五月收益大奖""的第三名. 策略更新说明和邀请码请看""策略师说"".",他山之石,913,16741488.0,251047.0,31561231,19.86,14909542,2016-08-31
52,52,10年大数据分析经验，4年拍拍贷投资经历，400万投资数据，擅长数学模型和分析,仗剑江湖,897,10569094.0,587749.0,1580525,15.36,8606666,2014-03-07
53,53,多年拍拍贷投资经验，擅长数据分析，自定义投标经验丰富。,平凡的人,894,10243175.0,308229.0,18032727,16.16,6002039,2016-01-06
54,54,2016年9月开始使用自定义策略，积累了丰富的选标经验，取得了较高的收益。,绝世好妈,883,5012518.0,101435.0,29033788,18.85,4850344,2016-07-27
55,55,2016年5月进入拍拍贷投资，一直坚持使用自定义策略投标，积累了大量的策略设计方面的经验，在拍拍贷的投资收益保持较高的稳定。,zcfull,869,21555129.0,159779.0,19835106,22.62,14690888,2016-02-23
56,56,2013年就注册了拍拍，从手动投标开始，各种投标方法都经历过。形成了自己稳健的选标策略，总投资额超千万，已收利息超百万。,老师付,869,10524360.0,753015.0,1269704,15.7,19252746,2013-11-02
57,57,资深拍拍贷投资人，19年股票基金投资经验，5年外汇投资经验，4年半各种P2P平台投资经验。计算机加财务双学历背景，自己编写程序进行统计，用数据指导决策。作风稳健，追求稳定基础上的较高收益。,大胖兔,851,27719909.0,229277.0,5638037,10.48,23836353,2015-03-27
58,58,坚持投资拍拍信标近3年，从大数据中多维度找出更优质的借款人，实现收益最大化,全家福,808,8647861.0,105089.0,15349274,20.0,4268494,2015-11-01
59,59,经过长期投信用标，对于信用标的选择有着充分的理解，会对您的资产平稳增值有所帮助,刘蓉,785,22780615.0,230525.0,20556554,17.59,4170087,2016-03-10
60,60,投资拍拍贷整4年，在经历早期高坏账后，逐渐形成了几套成熟投标策略，有效控制逾期坏账，用我的策略维持稳定的预期收益,aiyehui,775,5866378.0,123337.0,2241651,21.0,3542425,2014-06-25
61,61,日久见人心！驴托,熬胶,769,4336538.0,141431.0,39776371,19.59,3020172,2016-12-17
62,62,投资多年，数据积累，经验丰富。,开心奶爸,745,4184770.0,94170.0,19414145,18.88,8063598,2016-02-07
63,63,长期投资拍拍贷，专注于从大数据中挖掘统计规律，回溯建立量化模型，精于投资策略的设计及收益分析，追求长期稳定的高收益。以诚为本，行以致远。,拍大富,743,34662025.0,276440.0,49348686,21.48,6015088,2017-04-10
64,64,长江后浪推前浪！拍拍贷九年老用户，铁杆投资人，您值得信赖！,沙滩,727,5111846.0,226558.0,63752,14.180000000000001,9824958,2009-02-03
65,65,作为金融学研究生的专业人士，各种投资经历已有十多年。在拍拍贷三年多的投资经验，管理的几个账号总投出了上千万金额，摸索着各种维度优劣。分享高收益低逾期率策略，一起获取满意的投资回报吧！,秋天,719,2414165.0,170343.0,25313049,18.490000000000002,7482621,2016-06-02
66,66,2015年投资拍拍贷至今，追求稳定基础上的较高收益，期间不离不弃，和拍拍贷一起成长，作风稳健。投资净收益逾80万以上，累计投标金额超过1400万元。,一起成长,713,11630492.0,471158.0,7945416,17.740000000000002,14295807,2015-08-14
67,67,多年拍拍贷投资经验，累计投资金额数百万，熟悉各种维度优劣，分享高收益低逾期策略，一起获取高额投资回报,曼尼,702,16245845.0,351943.0,16185934,19.5,16475899,2015-11-23
68,68,从2013年开始接触网贷，在拍拍贷上有5年以上的投资经验，长期累计收益率保持在18%左右，投资经验比较丰富,修生养息,688,7812121.0,794473.0,936038,18.17,5741595,2012-12-06
69,69,丰富的信用标投标经历，为你带来超高收益。,hzzkf,687,5863613.0,394952.0,17186850,16.43,10994994,2015-12-17
70,70,资深投资人，擅长精算逾期数据，分析挖掘，调整最优参数。,SHARP木木,681,8077381.0,248490.0,511442,17.01,4517865,2011-12-09
71,71,2013年投资至今，经历拍拍贷的全部发展历程，坚定看好拍拍贷发展模式。拥有多年投资经验，策略灵活，底线思维。,marinefish,641,17461717.0,409113.0,987650,13.239999999999998,5452849,2013-03-02
72,72,投资拍拍贷3年，从开始的全赔标小白到信标自定义达人，坚持大数据分析、多维度筛选，获取高收益。,蓝色天空,641,5373726.0,74699.0,8704407,17.299999999999997,4156736,2015-09-11
73,73,进入拍拍投资后，坚持信标自定义。对官网自动投标、三方策略、债转工具都有涉猎。追求收益与风险均衡。,宽心,618,7706441.0,254724.0,47745685,18.709999999999997,2997720,2017-03-24
74,74,大家好，很高兴认识大家，我已在拍拍贷投资接近三年，利息收入已过百万,全营一杆枪,604,5764036.0,474309.0,15486366,14.829999999999998,25286400,2015-11-05
75,75,通过对散标的潜心分析研究，积累了丰富的策略设计经验，获得了较高的收益率。,向往安逸,602,7982429.0,505028.0,44328994,20.349999999999998,4117583,2017-02-15
76,76,5年拍拍贷投资经验，已还清和收款中标数接近5倍，策略稳定性已经时间考验，收益率多年稳定在17%到20%。,策略大师,583,3764076.0,152854.0,1131549,18.44,4226697,2013-08-01
77,77,2016年5月接触上海拍拍贷，投资最初金额10万元左右，现在投资金额是110万以上。主要投资信用标和小部分赔标及债权，效果很好。,神清气爽,561,1994445.0,39170.0,23090828,17.25,4446910,2016-04-27
78,78,投资拍拍贷2年，从开始的全赔标小白到信标自定义达人，坚持大数据分析、多维度筛选，获取高收益。,散修2705,559,2597862.0,54807.0,29292279,19.15,6984136,2016-07-31
79,79,老用户，一直坚持散标投资。收益稳定，逾期低。,Jack ,557,3306521.0,369354.0,821707,14.44,7158201,2012-08-31
80,80,通过拍拍贷的信用标，能获得稳定、持续的收益。,咖啡豆,556,17677490.0,238367.0,41565404,13.13,3332268,2017-01-07
81,81,IT职业经理，多年投资经理。加入拍拍贷两年，善长细致分析及高收益标的。,张毅,556,5548588.0,68460.0,8750375,13.43,6286361,2015-09-13
82,82,拍拍每天都在创新，每天进步一点点。投资拍拍，深刻体会终身学习，积极进取才是拍拍永恒主题。,暗香,551,9618792.0,189120.0,42847283,18.41,3513172,2017-01-20
83,83,~~~~,飞8侠,550,1582582.0,0.0,18267633,13.94,1049994,2016-01-11
84,84,2015年开始投资拍拍贷，虽历经风雨无数，却始终不离不弃，秉持价值投资，理性投资，长期投资的理念，坚信拍拍贷是实现财务自由的捷径。,海边的云,549,3359563.0,23422.0,8902950,13.780000000000001,8287554,2015-09-18
85,85,拍拍贷是少数让人安心的大平台，到拍拍贷获取超额收益是我们的目标，精选策略，稳健前行，与大家共勉！,多戈,542,3863223.0,328033.0,18309465,15.15,6161893,2016-01-12
86,86,会计出生，喜欢研究各种数据，从杂乱无章中找出规律和线索，这也是拍拍贷信标的乐趣所在,BlueEyes,516,32022326.0,470978.0,31897898,17.4,3945640,2016-09-05
87,87,长期信用标投标经历，注重高质量标的挖掘。,amelia336,509,8137385.0,612227.0,38785279,15.9,11527044,2016-12-04
88,88,投信标两年，略有心得。希望自己的策略带领大家稳定获利,zwcwl,500,10139258.0,220006.0,42987459,15.02,4991667,2017-01-22
89,89,多年拍拍贷投资经验，分析各种维度优劣，高收益低逾期，可以获取较高额投资回报。,童话,498,9358216.0,464924.0,29394783,14.499999999999998,2708786,2016-08-01
90,90,4年多拍拍贷投资经验，程序化选标，稳定盈利。,桩子,494,4035445.0,403941.0,989200,17.43,8647991,2013-03-05
91,91,投资拍拍，痴迷拍拍。二年投资拍拍不仅收获了财富见证拍拍成长，越来越觉得拍拍是一所不可能毕业的大学。优化策略如终是个人努力的方向,三天三夜,493,3595143.0,440317.0,41177424,19.13,5298160,2017-01-03
92,92,多年投资经验，擅长IT信息技术和数据分析。作风稳健，追求稳定的收益。拍拍贷论坛2018年4月单月账单奖的第三名。更多信息请看本页面的“策略师说”。,明镜止水,484,8339056.0,666331.0,53490111,17.82,5692255,2017-05-27
93,93,名校工科硕士，从事IT行业，软件开发十余年，5年p2p投资经验，擅长数据分析。投资风格稳健，充分利用优质第三方策略，以及在拍拍贷积累的投资经验，形成自己的投资风格。拍拍贷投资口号：一切靠数据说话！,我心飞翔,481,5652206.0,57021.0,38037452,17.86,6693575,2016-11-24
94,94,从赔标起步，到用自定义策略投资信用标，一直坚持稳健投资风格。希望我的策略也能助你稳健收益。策略更新说明和邀请码，请看“策略师说“。,拍拍乐,480,6212469.0,76653.0,35741912,14.879999999999999,4715225,2016-10-27
95,95,2016年开始投资拍拍贷，累计收益率16.11,fengwei,466,2982503.0,24044.0,20094109,16.11,5879436,2016-02-29
96,96,"2017开始投资P2P,偏保守型投资人",落花人独立,452,6859123.0,214143.0,49981729,15.45,4657508,2017-04-18
97,97,擅长金融及股权投资，拥有国内外多个P2P等投资经验，在拍拍贷收益保持长期稳健。,乙小囧,438,3795152.0,95956.0,19963424,18.93,5130325,2016-02-26
98,98,投资拍拍贷2年多，从刚开始的手动选标，到自定义策略选标，对各种纬度深刻了解，掌握大量数据，来做出高收益低逾期的策略。,青阳,434,4350522.0,7451.0,28522405,20.46,3176299,2016-07-20
99,99,从投资拍怕贷开始就研究信用标策略，回测了大量自定义策略，了解和掌握了各种条件对逾期的影响，并不断的优化了自己的策略，取得了较好的收益率。,匆匆多年,407,6774134.0,51314.0,47780069,21.51,7082819,2017-03-24
100,100,丰富的信用标投标经历，给自己和大家带来超高收益！,群群策略师,404,8599217.0,964791.0,44177028,16.259999999999998,20278080,2017-02-13
101,101,自从投资拍拍贷以来，一直长期坚持自定义选标，投标维度紧随行情调整，保证了最大收益率和资金利用率的动态平衡，获得了较高的稳定收益。,seset,393,5479204.0,829122.0,3996158,16.64,4640542,2014-10-15
102,102,多年拍拍信标投资经验。精于数据分析，构建自已独特的投资纬度模型精选投资标的，从而获得稳定的投资收益。让我们一起投资拍拍贷见证复利的力量！,秋丰,391,2883915.0,229013.0,21308368,15.590000000000002,4781144,2016-03-25
103,103,资深互联网大型系统研发架构师，具有丰富的大数据从业经验和金融产品投资经验，希望给大家带来稳健收益！,Chuan,389,5181765.0,0.0,15123713,12.01,16693331,2015-10-26
104,104,稳健投资，保证标量的同时保证较高收益，名下账户累计投资上千万。,黑人,389,2119188.0,59073.0,37061183,19.13,6342210,2016-11-12
105,105,投资1年多了，小有收获。希望形成自己的投资风格，取得稳定的收益。,小芳,383,5668406.0,1103509.0,56174665,15.15,10803233,2017-06-25
106,106,有缘的自然有缘，愿远离世俗，还一片净土,BW之一念之间,379,6534859.0,22488.0,58397970,15.790000000000001,5494771,2017-07-17
107,107,"多年投资经历,优選大数据,加強投资策略,穩定的长期投资收益。",弗藍克,379,5924632.0,247765.0,33669110,14.549999999999999,8902373,2016-09-29
108,108,2015年进拍拍贷以来，一直有不错的收益，拍拍贷一直是我满仓或者绝对重仓的选择，当然为了活动，也会分别用几个账号来出借,像风一样自由,379,2702960.0,20752.0,44251953,13.84,4011292,2017-02-14
109,109,低风险偏好，稳定增值是我的信条,sissie,377,2245749.0,149058.0,47587823,17.39,4740875,2017-03-22
110,110,基于打造稳健的投资策略,神医策略,361,2283603.0,35698.0,8013378,18.4,3893793,2015-08-17
111,111,入驻拍拍贷投资一年多，通过精心研究信用投标策略，获得了令人满意的年化收益率,满意红利,343,1310571.0,240108.0,53578421,17.06,7542564,2017-05-28
112,112,投资网贷、基金、股票、期货等投kw资品种十多年，积累了丰富的投资经验。虽然投资拍拍贷一年多，但从开始的手动筛选投标中积累了丰富的经验，投入资金也从刚开始的几万发展到二百多万。,智赢,338,3210434.0,199445.0,22165625,17.61,8431084,2016-04-10
113,113,拍拍贷多年老客户，大数据分散选标，定期优化,金盾侠,336,2226796.0,56226.0,4727111,14.549999999999999,6078991,2014-12-22
114,114,"选择大于努力,思路决定出路,观念决定命运,梦想照亮人生",宁远,335,2698042.0,855515.0,22264983,16.29,4739215,2016-04-12
115,115,2年拍拍贷信标投资经验，侧重数据分析，追求投资风险和回报比重控制,老刀,335,2054596.0,116300.0,43698483,18.18,2661198,2017-02-06
116,116,在估值和风险中寻找最佳平衡，在策略和统计中获取最大盈利。,估值大师,332,5278928.0,61691.0,42331629,20.880000000000003,5148511,2017-01-15
117,117,2016年10月开始投资拍拍贷，长期跟踪研究第三方和自定义投标策略，深知拍拍贷的风控纬度变化；累计收益超过140万元，实现稳定高收益。,星辰大海,331,982073.0,360824.0,34238214,17.59,34440081,2016-10-08
118,118,"本人从事经贸工作,喜爱钻研投资理财,15年4月始投互金,15年10月始投拍拍贷,17年11月底玩自定义。不断改进策略，效果显著。至今家庭多账户自定义循环投标超1000万，逾期率很低；290天已过，年化收益显示在25%以上。",财富这边独好,330,3490378.0,374845.0,7659960,17.24,11246905,2015-08-01
119,119,"多年互联网金融网络实战经验，时常关注金融与管理的业务知识，通过软件长期跟踪分析主流平台，是PPD平台爱好者,追求稳健高收益。",起早一步,320,2377320.0,133880.0,49024206,16.11,3587036,2017-04-07
120,120,近2年投资经验，自用策略，大家放心使用。,果汁分你一半,316,2274859.0,53213.0,43197859,15.790000000000001,6158700,2017-01-25
121,121,多年网贷投资经验，熟知各投标维度对逾期的影响，专注于从大数据中挖掘统计规律，追求长期稳定的高收益。,闪电,316,1774697.0,604137.0,28057338,18.48,7713532,2016-07-14
122,122,本人有很多年理财经验，并且这一年来有多个自定义策略运行结果，最近一年实际计算收益率在17左右,流苏,309,6924153.0,56129.0,64609035,19.07,4530486,2017-09-16
123,123,金融从业12年，对金融大环境和周期非常敏感，只给投资人我最好的策略,诚实豆沙包,302,3741118.0,242312.0,7656098,14.469999999999999,7651328,2015-08-01
124,124,一入拍拍深似海 策略选标不茫然,无明,301,1791214.0,25894.0,20496357,15.770000000000001,27247086,2016-03-09
125,125,投资拍拍贷到现在，经历了太多变化，做策略非常烧脑，经过这几年的投资，我通过做数据分析，逾期分析，投标量等等的统计分析，总结了自己的策略方向，希望能通过策略师平台帮助大家，有一个好的收益。,icefly,298,3477359.0,159313.0,27409106,15.8,3268356,2016-07-05
126,126,投资拍拍贷多年，历史收益超过15%,理财达人,297,6929645.0,167536.0,28003570,18.04,5082499,2016-07-13
127,127,一个拍拍贷忠实用户，本着为自己财富认真负责，从茫茫P2P海中选择了拍拍贷，从茫茫信用标中选出好的标的，希望在未来和各位拍友收货满仓！,米多喜多,297,1665125.0,0.0,42385990,14.829999999999998,7178118,2017-01-16
128,128,多年投资经验，稳健投资风格达到利益最大化,一花一世界,296,1911582.0,18983.0,4671497,17.01,5071963,2014-12-16
129,129,职业金融投资人，多年金融投资经验，对P2P投资有深入的研究和独特的见解。通过大量数据多维度的层层筛选，已经形成一套完善的投资策略。能在稳定的前提下实现较高的投资收益。欢迎大家前来体验。,浪淘沙,286,2244692.0,476025.0,17012040,18.55,3592634,2015-12-12
130,130,拍拍贷投资3年，在投资金200多万，专攻散标,独狼,285,2795804.0,0.0,41297949,17.19,4501709,2017-01-04
131,131,会计、财务专业背景，2011年进入拍拍贷投资，骨灰级客户，收益率稳健。投资就像长跑，不要在意起跑速度，长期保持稳定收益才是最重要的，时间会给您带来惊喜！,分分添财,285,1884995.0,41323.0,454737,14.899999999999999,2534698,2011-09-28
132,132,本人王文周，系河北省沧州市盐山县一中数学教师，2015年加入拍拍贷，一下就喜欢上了拍拍贷的投资模式，目前投资近70万，看到了拍拍贷招收策略师，我就积极报名，想把自己的经验，以策略的方式分享给大家。,wwzh1965,275,4361200.0,103018.0,17189336,13.56,3685252,2015-12-17
133,133,三年拍拍投资经验，累计投资1500万，收益18+以上。,散步的鱼,273,1819166.0,98692.0,25518598,19.38,25000296,2016-06-05
134,134,投资p2p多年，有丰富的理财经验。喜欢拍拍贷散标形式，保持稳定增长收益。,带你飞,267,1744203.0,185412.0,51665293,26.72,3125471,2017-05-08
135,135,热衷于金融理财。希望通过理性分析实现财富增长。,haozi,264,1497433.0,30291.0,18766275,15.079999999999998,9616485,2016-01-21
136,136,多年拍拍投资经历，目前累计年化收益19%+,苏州红枫叶,260,2750997.0,74178.0,29151882,20.119999999999997,5575337,2016-07-29
137,137,绝对自用策略，经近2年实践印证,赖皮皮,257,2616094.0,146724.0,36370520,15.459999999999999,5063631,2016-11-04
138,138,投资拍拍贷多年，通过自身实践及大数据的研究，熟知各投标维度对逾期的影响！策略稳健，保持良好收益率！,周秦汉唐,257,1766337.0,18546.0,31045588,11.87,6190683,2016-08-24
139,139,"2015开始投资拍拍,收益大家有目共睹,希望我的策略可以给大家带来合理满意的收益.",随心,250,1307413.0,55320.0,6295756,15.47,2600380,2015-05-15
140,140,本人上海某大学副教授，理学博士。策略自用为主，欢迎使用。,道法自然,247,4348262.0,1015813.0,51111665,15.93,7471020,2017-05-02
141,141,谨慎，谨慎，不求一夜暴富，但求天长地久，重要的话说三遍。,大鱼海棠,247,1484034.0,191952.0,63968498,14.45,3660052,2017-09-10
142,142,投资拍拍贷已有3个年头，本着稳健投资理念，投资基本把握一半赔一半信，至今信标投资近千万,hansgang,241,1242392.0,247132.0,17889024,14.87,10994959,2016-01-03
